idelem,intensidad,ocupacion,carga
10557,280,0,24
10559,320,1,17
10721,20,0,10
10701,200,1,33
10702,140,2,46
10707,120,0,23
10716,40,0,12
10724,220,2,27
10725,120,4,45
10732,120,1,29
10733,80,1,22
10735,0,0,1
10736,160,3,29
10734,100,11,30
10731,120,0,37
10726,180,1,40
10722,100,0,29
10718,100,1,29
10715,180,1,28
10710,360,5,34
10705,360,6,42
10818,140,0,24
10819,360,5,52
10821,160,1,42
10820,700,10,61
10822,360,4,46
10823,780,27,62
11037,160,11,30
11038,420,7,40
11059,100,51,30
11172,180,2,12
11173,280,5,25
11174,240,17,48
11176,220,5,37
11175,400,8,45
11177,60,2,5
11178,340,6,17
11180,140,2,9
11179,820,9,41
11182,60,7,8
11181,480,16,31
5943,140,23,33
3528,60,36,34
5944,160,70,54
5945,100,41,52
5946,40,5,24
10003,360,2,27
10004,620,11,29
10007,700,6,12
10008,580,19,16
5947,940,6,38
5948,140,2,21
5949,640,5,38
5950,260,2,28
5951,560,5,26
5952,800,5,32
5953,60,0,22
10717,220,5,35
5955,499,5,20
5956,820,5,31
5957,520,3,19
5958,900,6,34
5959,180,2,31
5960,499,3,17
5961,600,53,38
5962,440,6,34
5963,499,3,32
5964,140,0,8
5965,180,1,17
5966,240,1,24
5967,2200,10,36
5968,620,2,17
5969,1160,8,48
5970,300,1,45
5971,120,0,13
5972,400,14,56
5973,560,4,20
5974,300,1,42
3646,1200,25,29
5975,620,3,31
5976,540,5,22
5977,920,4,32
5978,499,2,17
5979,400,1,15
5980,640,2,22
5981,960,6,31
5982,600,8,39
5983,580,3,20
5984,980,6,39
5985,420,2,25
5986,260,1,29
5987,180,3,29
5988,240,3,57
5989,60,1,50
3647,120,1,41
5990,60,0,15
5991,740,3,30
5992,0,98,49
5993,0,0,0
5999,100,1,20
10345,520,5,16
10344,580,5,13
10343,40,0,6
10342,440,3,24
10340,200,0,8
10486,120,2,6
10341,220,1,25
10348,340,5,23
10480,180,2,16
10481,499,7,26
10483,180,3,12
10482,440,6,35
10485,220,6,23
10484,60,0,11
10695,20,0,5
10697,0,0,2
10699,160,2,20
10703,80,1,12
10708,20,0,3
10711,60,1,8
10720,0,0,0
10719,80,2,21
10714,40,1,13
10713,40,1,8
10712,100,2,11
10709,80,2,5
10706,140,5,8
10704,0,98,48
